CODE,PRODUCTO,Tiempo,TIPO_CARROCERIA,Edad_Cliente,COMBUSTIBLE,Revisiones,Potencia,TRANS,Mas_1_coche,FORMA_PAGO,km_anno,ESTADO_CIVIL,COSTE_VENTA,GENERO,QUEJA_CAC,Zona_Renta,OcupaciOn,Averia_grave,Campanna3,PROVINCIA,REV_Garantia,Campanna2,Campanna1,Grupo_Edad_Codificado
CLI2640,1,0,0,49,0,1,2.0,1,0,2,0,0,3106,1,0,2.0,1,4.0,0,25,0,0,1,3
CLI2641,1,0,0,62,0,1,2.0,1,0,0,0,0,1654,2,0,3.0,1,4.0,0,27,0,0,1,5
CLI2642,1,0,0,71,0,2,2.0,1,0,2,0,0,1750,2,0,3.0,1,4.0,1,45,0,0,1,6
CLI2643,1,0,0,60,0,1,2.0,1,0,3,8007,4,1654,1,0,1.0,1,4.0,0,32,1,0,0,4
CLI2644,1,3,0,61,0,1,2.0,1,1,3,0,0,1750,2,0,0.0,1,4.0,0,8,0,0,0,5
CLI2645,1,0,0,35,0,2,2.0,1,0,3,0,4,1654,2,0,0.0,1,4.0,0,8,0,0,0,2
CLI2646,1,0,0,37,0,2,2.0,1,0,0,0,0,1750,2,0,0.0,1,4.0,0,32,0,0,0,2
CLI2647,1,0,0,54,0,1,2.0,1,0,3,0,0,1654,2,0,2.0,1,4.0,0,32,0,0,0,4
CLI2648,1,0,0,49,0,2,2.0,1,0,2,0,0,2648,1,0,0.0,2,4.0,0,41,0,0,1,3
CLI2649,1,6,0,54,0,0,2.0,1,1,3,42251,2,3309,1,1,1.0,1,4.0,0,45,1,0,1,4
CLI2650,1,0,0,50,0,2,2.0,1,0,0,0,3,1934,1,0,3.0,0,4.0,0,28,0,0,0,3
CLI2651,1,5,0,21,0,1,2.0,1,1,3,0,0,3309,2,0,2.0,1,4.0,0,32,0,0,1,1
CLI2652,1,5,0,55,0,1,2.0,1,1,0,0,0,3729,1,0,0.0,2,4.0,0,28,0,0,1,4
CLI2653,1,0,0,35,0,2,2.0,1,0,2,0,0,1750,2,0,3.0,1,4.0,1,27,0,0,1,2
